Date,Price
2025-03-17 00:00:31,2931.96972656
2025-03-17 00:01:31,2931.46704102
2025-03-17 00:02:31,2931.46704102
2025-03-17 00:03:31,2931.88623047
2025-03-17 00:04:31,2931.80200195
2025-03-17 00:05:31,2932.13525391
2025-03-17 00:06:31,2931.88623047
2025-03-17 00:07:31,2932.13525391
2025-03-17 00:08:31,2931.55200195
2025-03-17 00:09:31,2932.05200195
2025-03-17 00:10:31,2931.55200195
2025-03-17 00:11:31,2931.80200195
2025-03-17 00:12:31,2932.3840332
2025-03-17 00:13:31,2932.13525391
2025-03-17 00:14:31,2932.8828125
2025-03-17 00:15:31,2932.71582031
2025-03-17 00:16:31,2932.30273438
2025-03-17 00:17:31,2932.30273438
2025-03-17 00:18:31,2932.21777344
2025-03-17 00:19:31,2931.71875
2025-03-17 00:20:31,2931.2175293
2025-03-17 00:21:31,2931.13305664
2025-03-17 00:22:31,2929.77929688
2025-03-17 00:23:31,2930.45776367
2025-03-17 00:24:31,2930.87890625
2025-03-17 00:25:31,2929.94848633
2025-03-17 00:26:31,2929.69384766
2025-03-17 00:27:31,2928.75292969
2025-03-17 00:28:31,2928.66943359
2025-03-17 00:29:31,2926.85205078
2025-03-17 00:30:31,2927.4597168
2025-03-17 00:31:31,2925.62817383
2025-03-17 00:32:31,2925.53930664
2025-03-17 00:33:31,2925.53930664
2025-03-17 00:34:31,2926.24145508
2025-03-17 00:35:31,2925.53930664
2025-03-17 00:36:31,2924.30664062
2025-03-17 00:37:31,2924.30664062
2025-03-17 00:38:31,2924.21728516
2025-03-17 00:39:31,2924.21728516
2025-03-17 00:40:31,2924.30664062
2025-03-17 00:41:31,2922.79711914
2025-03-17 00:42:31,2921.72875977
2025-03-17 00:43:31,2921.90722656
2025-03-17 00:44:31,2920.83496094
2025-03-17 00:45:31,2917.61743164
2025-03-17 00:46:31,2920.56811523
2025-03-17 00:47:31,2921.01611328
2025-03-17 00:48:31,2919.94116211
2025-03-17 00:49:31,2920.2097168
2025-03-17 00:50:31,2920.12207031
2025-03-17 00:51:31,2918.68945312
2025-03-17 00:52:31,2919.31591797
2025-03-17 00:53:31,2919.13696289
2025-03-17 00:54:31,2919.85180664
2025-03-17 00:55:31,2920.03149414
2025-03-17 00:56:31,2920.2097168
2025-03-17 00:57:31,2920.30078125
2025-03-17 00:58:31,2921.46191406
2025-03-17 00:59:31,2921.63916016
2025-03-17 01:00:31,2922.26367188
2025-03-17 01:01:31,2921.81811523
2025-03-17 01:02:31,2922.61865234
2025-03-17 01:03:31,2922.53149414
2025-03-17 01:04:31,2922.17456055
2025-03-17 01:05:31,2922.44311523
2025-03-17 01:06:31,2922.97705078
2025-03-17 01:07:31,2923.06542969
2025-03-17 01:08:31,2922.17456055
2025-03-17 01:09:31,2922.61865234
2025-03-17 01:10:31,2922.70849609
2025-03-17 01:11:31,2923.15405273
2025-03-17 01:12:31,2922.70849609
2025-03-17 01:13:31,2923.24243164
2025-03-17 01:14:31,2923.68603516
2025-03-17 01:15:31,2925.09912109
2025-03-17 01:16:31,2923.68603516
2025-03-17 01:17:31,2922.88500977
2025-03-17 01:18:31,2923.7746582
2025-03-17 01:19:31,2923.7746582
2025-03-17 01:20:31,2923.68603516
2025-03-17 01:21:31,2923.86230469
2025-03-17 01:22:31,2924.21728516
2025-03-17 01:23:31,2923.42041016
2025-03-17 01:24:31,2926.24145508
2025-03-17 01:25:31,2927.28515625
2025-03-17 01:26:31,2926.24145508
2025-03-17 01:27:31,2925.89013672
2025-03-17 01:28:31,2926.24145508
2025-03-17 01:29:31,2926.93847656
2025-03-17 01:30:31,2927.28515625
2025-03-17 01:31:31,2926.15283203
2025-03-17 01:32:31,2925.97729492
2025-03-17 01:33:31,2926.4152832
2025-03-17 01:34:31,2926.06640625
2025-03-17 01:35:31,2926.06640625
2025-03-17 01:36:31,2925.89013672
2025-03-17 01:37:31,2925.09912109
2025-03-17 01:38:31,2925.01123047
2025-03-17 01:39:31,2925.89013672
2025-03-17 01:40:31,2925.18823242
2025-03-17 01:41:31,2925.09912109
2025-03-17 01:42:31,2925.18823242
2025-03-17 01:43:31,2924.39404297
